Ten file,URL
L01_V001,https://youtube.com/watch?v=HNsRpkryGXA
L01_V002,https://youtube.com/watch?v=f4mLZEqyaCI
L01_V003,https://youtube.com/watch?v=13fm6nkNcAQ
L01_V004,https://youtube.com/watch?v=OPWP2_g1awM
L01_V005,https://youtube.com/watch?v=42iV2WKuaNg
L01_V006,https://youtube.com/watch?v=PWQjrFfa9Xo
L01_V007,https://youtube.com/watch?v=BIxT8idWpyU
L01_V008,https://youtube.com/watch?v=5gWk2sfnOhg
L01_V009,https://youtube.com/watch?v=QX1jwWnkGbE
L01_V010,https://youtube.com/watch?v=R_WopB-K6w8
L01_V011,https://youtube.com/watch?v=uqsYCB9MBKM
L01_V012,https://youtube.com/watch?v=L5Aj01HO_Ao
L01_V013,https://youtube.com/watch?v=wx-uqWtOKxU
L01_V014,https://youtube.com/watch?v=riF5DrcIeZU
L01_V015,https://youtube.com/watch?v=sSm1YV9Z6r4
L01_V016,https://youtube.com/watch?v=FL7ZfZdZS5E
L01_V017,https://youtube.com/watch?v=6u_cYl4n6l0
L01_V018,https://youtube.com/watch?v=GiEczVQV0GM
L01_V019,https://youtube.com/watch?v=IB5QOM506iw
L01_V020,https://youtube.com/watch?v=3CwaVNKgo80
L01_V021,https://youtube.com/watch?v=0WbTYE4l9Ms
L01_V022,https://youtube.com/watch?v=D-QJOLZM3Io
L01_V023,https://youtube.com/watch?v=2JwaY5-yyLI
L01_V024,https://youtube.com/watch?v=sp_6kWffdW8
L01_V025,https://youtube.com/watch?v=IwZ7O_Bo0tQ
L01_V026,https://youtube.com/watch?v=9PdxOt2am_8
L01_V027,https://youtube.com/watch?v=SA6pbTTQ_rA
L01_V028,https://youtube.com/watch?v=cJqije9cjEY
L01_V029,https://youtube.com/watch?v=uX5cXDHP9Cs
L01_V030,https://youtube.com/watch?v=_94KJv1J4yk
L01_V031,https://youtube.com/watch?v=NlBF6KtX3P0
L02_V001,https://youtube.com/watch?v=7EDyaNggOMM
L02_V002,https://youtube.com/watch?v=s2OP6wppymI
L02_V003,https://youtube.com/watch?v=_NR33BJomis
L02_V004,https://youtube.com/watch?v=RbosxSaNlLw
L02_V005,https://youtube.com/watch?v=vkzpvpLCCZ0
L02_V006,https://youtube.com/watch?v=Rcc5Co2guVs
L02_V007,https://youtube.com/watch?v=d-nQe8fld00
L02_V008,https://youtube.com/watch?v=5rNIZbgfrdk
L02_V009,https://youtube.com/watch?v=UXOk0o2xdQA
L02_V010,https://youtube.com/watch?v=ki9uHdJouZA
L02_V011,https://youtube.com/watch?v=dKxK99vWSYs
L02_V012,https://youtube.com/watch?v=cxPjD9MU_PM
L02_V013,https://youtube.com/watch?v=8WxPrsR8R5A
L02_V014,https://youtube.com/watch?v=7OsK6ja_gnk
L02_V015,https://youtube.com/watch?v=sbbdlISnuFQ
L02_V016,https://youtube.com/watch?v=UjHR04iU1qE
L02_V017,https://youtube.com/watch?v=UB-2wyspy5o
L02_V018,https://youtube.com/watch?v=GCMC9JyvtyU
L02_V019,https://youtube.com/watch?v=s3SdX1-edD8
L02_V020,https://youtube.com/watch?v=nhW08zFKI_M
L02_V021,https://youtube.com/watch?v=8ttDiCy4fkI
L02_V022,https://youtube.com/watch?v=5QYG5dYWpdc
L02_V023,https://youtube.com/watch?v=hksjmcFL1Eg
L02_V024,https://youtube.com/watch?v=xF0ZL0n9mk0
L02_V025,https://youtube.com/watch?v=--wr6uava04
L02_V026,https://youtube.com/watch?v=JWYP_BtxhoY
L02_V027,https://youtube.com/watch?v=OPMJJz1bTg4
L02_V028,https://youtube.com/watch?v=msFbTgVZI8s
L02_V029,https://youtube.com/watch?v=zW9XbqGvdNw
L02_V030,https://youtube.com/watch?v=GmgScjN59Hk
L03_V001,https://youtube.com/watch?v=0N4ZNT2y7mc
L03_V002,https://youtube.com/watch?v=nKE6DD9meoQ
L03_V003,https://youtube.com/watch?v=g-rcAOEZvn8
L03_V004,https://youtube.com/watch?v=UTEF5usn0a8
L03_V005,https://youtube.com/watch?v=OGxSXvrkCGg
L03_V006,https://youtube.com/watch?v=a8o4VgsPlJE
L03_V007,https://youtube.com/watch?v=Yp0GysJbPsE
L03_V008,https://youtube.com/watch?v=o_YkNtaHIVo
L03_V009,https://youtube.com/watch?v=aot9ptxDCGw
L03_V010,https://youtube.com/watch?v=gW3nvGL1xXE
L03_V011,https://youtube.com/watch?v=3P3JBQpzns4
L03_V012,https://youtube.com/watch?v=ts9I-04TyN0
L03_V013,https://youtube.com/watch?v=QXjNXz14QhM
L03_V014,https://youtube.com/watch?v=EmScv1cVS7Q
L03_V015,https://youtube.com/watch?v=ZEvt-u1KvvA
L03_V016,https://youtube.com/watch?v=60TburD0fO4
L03_V017,https://youtube.com/watch?v=ifOnmSvnFzA
L03_V018,https://youtube.com/watch?v=6EnLBpz64ks
L03_V019,https://youtube.com/watch?v=v1YyJHJaZ3c
L03_V020,https://youtube.com/watch?v=_Rg4A_TE7H8
L03_V021,https://youtube.com/watch?v=p3FFYEZtYx0
L03_V022,https://youtube.com/watch?v=pP1nLF3dwy4
L03_V023,https://youtube.com/watch?v=g0ZhGTnovG4
L03_V024,https://youtube.com/watch?v=qXVkAnQVp3o
L03_V025,https://youtube.com/watch?v=EmyLvxwda7Y
L03_V026,https://youtube.com/watch?v=1o95mi6MZv8
L03_V027,https://youtube.com/watch?v=7-RLqnF2s6U
L03_V028,https://youtube.com/watch?v=tq5SGXQ2s2Y
L03_V029,https://youtube.com/watch?v=fsOttNpSpT0
L03_V030,https://youtube.com/watch?v=aOBKyVKTIcU
L03_V031,https://youtube.com/watch?v=hwGV-RcBVTI
L04_V001,https://youtube.com/watch?v=JrB3H75hCgo
L04_V002,https://youtube.com/watch?v=m3zr2pBf5qc
L04_V003,https://youtube.com/watch?v=pBHKO7XCNUc
L04_V004,https://youtube.com/watch?v=dOMDX5PBD6k
L04_V005,https://youtube.com/watch?v=qn3SRXmlE8c
L04_V006,https://youtube.com/watch?v=43wtN9eL1hU
L04_V007,https://youtube.com/watch?v=bkqfWzRXRuk
L04_V008,https://youtube.com/watch?v=9seJurxitcM
L04_V009,https://youtube.com/watch?v=GWEyvAmqqu4
L04_V010,https://youtube.com/watch?v=qA_znc9TnXY
L04_V011,https://youtube.com/watch?v=qW31Z9kZ_jc
L04_V012,https://youtube.com/watch?v=7PR8-j67MH4
L04_V013,https://youtube.com/watch?v=NvWMibZQkZk
L04_V014,https://youtube.com/watch?v=CAG87N_qWd8
L04_V015,https://youtube.com/watch?v=NIKm1Cz-930
L04_V016,https://youtube.com/watch?v=Su0xfn6ysws
L04_V017,https://youtube.com/watch?v=nL_Q-b9Jefg
L04_V018,https://youtube.com/watch?v=HVyRisDaCF8
L04_V019,https://youtube.com/watch?v=hL_60RPO_iM
L04_V020,https://youtube.com/watch?v=1a3ANmsS4RM
L04_V021,https://youtube.com/watch?v=STSHjw3idGA
L04_V022,https://youtube.com/watch?v=OVN6RPMIiaI
L04_V023,https://youtube.com/watch?v=Buch5_vYx9U
L04_V024,https://youtube.com/watch?v=brMNuJXjD-s
L04_V025,https://youtube.com/watch?v=iynCrS1JhJA
L04_V026,https://youtube.com/watch?v=AUcVsavKC6M
L04_V027,https://youtube.com/watch?v=TIt2KlCEDs0
L04_V028,https://youtube.com/watch?v=OzJDnaLfxt8
L04_V029,https://youtube.com/watch?v=YPlpz3SUhjY
L04_V030,https://youtube.com/watch?v=z_1P7f2kR-0
L04_V031,https://youtube.com/watch?v=b2m-xrpH020
L05_V001,https://youtube.com/watch?v=qVsDxHMiPAw
L05_V002,https://youtube.com/watch?v=6IKPglhTWrQ
